"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MRPL18",3.29896823169651e-42,0.860196471004675,0.586,0.27,7.81393615359635e-38,3,"MRPL18"
"KIAA0195",3.35247100738487e-42,0.997106408732747,0.558,0.267,7.94066282809181e-38,3,"KIAA0195"
"NUP93",3.36976561286342e-42,0.923675459698947,0.616,0.308,7.9816268306283e-38,3,"NUP93"
"LZTS1",3.7808981254422e-42,1.53772666517481,0.625,0.419,8.9554352999224e-38,3,"LZTS1"
"RPN1",3.87634829277627e-42,0.642631658561723,0.9,0.532,9.18151856626987e-38,3,"RPN1"
"C22orf32",3.92891438739105e-42,0.683800330552915,0.767,0.404,9.30602661797445e-38,3,"C22orf32"
"MAFF",5.25149499446718e-42,1.05035095827509,0.753,0.623,1.2438691043895e-37,3,"MAFF"
"ATP5H",6.28887590775431e-42,0.690633957050038,0.904,0.502,1.48958314751069e-37,3,"ATP5H"
"WWOX",6.54510389416204e-42,1.46522521340585,0.341,0.118,1.55027330837122e-37,3,"WWOX"
"LEPROT",6.99624817950349e-42,0.617680365837876,0.89,0.761,1.6571313437972e-37,3,"LEPROT"
"IRF41",7.42145772734717e-42,0.710689214574107,0.667,0.343,1.75784647729945e-37,3,"IRF4"
"RIPK4",7.98504775365756e-42,1.92271591531231,0.265,0.077,1.89133841093133e-37,3,"RIPK4"
"TEAD1",8.3457012643013e-42,1.41290954811601,0.442,0.184,1.97676280146241e-37,3,"TEAD1"
"PRDX5",8.35367513967871e-42,0.687352771209258,0.894,0.51,1.9786514935843e-37,3,"PRDX5"
"DIP2B",8.6140950895016e-42,0.858539464895437,0.612,0.311,2.04033456289935e-37,3,"DIP2B"
"STRA13",8.88718887784303e-42,0.907638730579095,0.618,0.298,2.1050195576059e-37,3,"STRA13"
"TPCN1",9.01007565084066e-42,0.888318735706851,0.578,0.277,2.13412651865812e-37,3,"TPCN1"
"PLEKHM1P",1.00898258149891e-41,0.863334232102537,0.598,0.283,2.38987614253832e-37,3,"PLEKHM1P"
"SNX3",1.01481252725524e-41,0.778404813970209,0.679,0.34,2.40368495205676e-37,3,"SNX3"
"FAM174A",1.19302788664913e-41,1.55674157835676,0.335,0.117,2.82580585231713e-37,3,"FAM174A"
"SF3A1",1.24599070678488e-41,0.635669138864175,0.859,0.547,2.95125358809066e-37,3,"SF3A1"
"C9orf161",1.26187475264901e-41,0.714507215842711,0.825,0.455,2.98887653912444e-37,3,"C9orf16"
"TEX264",1.46558854150001e-41,0.828293880259663,0.647,0.322,3.47139301939693e-37,3,"TEX264"
"EIF4EBP1",1.63074355515513e-41,0.994316804308971,0.554,0.255,3.86257918474044e-37,3,"EIF4EBP1"
"SYNM",1.80313666802099e-41,1.69017389384197,0.301,0.097,4.27090951187452e-37,3,"SYNM"
"AMDHD2",1.81286528859292e-41,1.26670617101212,0.43,0.18,4.29395272256118e-37,3,"AMDHD2"
"ATG13",1.8663045284949e-41,0.865131761223812,0.61,0.303,4.42052890619301e-37,3,"ATG13"
"PSMD11",2.25637862141035e-41,0.617962506168117,0.876,0.509,5.34445840267255e-37,3,"PSMD11"
"RWDD2B",2.72293219297495e-41,1.19995796889937,0.436,0.182,6.44953719228046e-37,3,"RWDD2B"
"UBE4B",2.94935851041521e-41,1.06288258178659,0.518,0.242,6.98585056776946e-37,3,"UBE4B"
"PTRH2",3.11927169903214e-41,1.17670901291209,0.466,0.203,7.38830694632753e-37,3,"PTRH2"
"HIST1H1C",3.41115164360557e-41,1.0543601251923,0.494,0.215,8.07965378304415e-37,3,"HIST1H1C"
"CRIPT",3.67612152688111e-41,0.867041036506421,0.627,0.322,8.7072614485706e-37,3,"CRIPT"
"LOC541471",3.80703337149633e-41,0.873203537235455,0.631,0.322,9.01733924372621e-37,3,"LOC541471"
"EMC7",4.01093075870855e-41,0.748255577578027,0.739,0.377,9.50029059507706e-37,3,"EMC7"
"IFRD1",4.04435711311021e-41,0.667540814937678,0.819,0.483,9.57946425811285e-37,3,"IFRD1"
"PNKD",4.09071691477275e-41,0.833901023021013,0.661,0.331,9.68927208433073e-37,3,"PNKD"
"TMEM59",4.55514063114074e-41,0.611608686686804,0.948,0.624,1.078930609892e-36,3,"TMEM59"
"NRXN3",4.85745877723712e-41,1.8274549796153,0.651,0.496,1.15053768597639e-36,3,"NRXN3"
"FANCL",5.65038452162351e-41,1.16829055630545,0.474,0.207,1.33835007779174e-36,3,"FANCL"
"PIGH",5.66353833703318e-41,1.06890082927176,0.516,0.244,1.34146569050968e-36,3,"PIGH"
"PPME1",5.72508591552096e-41,1.14514975465488,0.5,0.231,1.3560438499503e-36,3,"PPME1"
"BLVRB",6.15303269950204e-41,1.15460798016933,0.492,0.222,1.45740732520405e-36,3,"BLVRB"
"NDUFB6",6.17778109557769e-41,0.751387191112687,0.755,0.398,1.46326923029853e-36,3,"NDUFB6"
"CDK5",6.97293599519287e-41,1.49512460166312,0.373,0.145,1.65160961982138e-36,3,"CDK5"
"TXN2",7.32977530285943e-41,0.798886997906511,0.705,0.366,1.73613057823528e-36,3,"TXN2"
"TTLL1",7.58767847277832e-41,1.74925814042077,0.297,0.098,1.79721752306227e-36,3,"TTLL1"
"NGRN",8.37219703094605e-41,0.727914656581153,0.743,0.395,1.98303858874988e-36,3,"NGRN"
"ATP5I",8.87166205615986e-41,0.699690827802683,0.845,0.48,2.10134187462202e-36,3,"ATP5I"
"MYEOV2",1.11843090465495e-40,0.841634085780653,0.655,0.33,2.64911544076572e-36,3,"MYEOV2"
"SH3TC2",1.31919552356224e-40,2.06906918807925,0.538,0.327,3.12464651710952e-36,3,"SH3TC2"
"PDIA4",1.32421200074283e-40,0.718056754154407,0.771,0.416,3.13652854495946e-36,3,"PDIA4"
"TMEM147",1.37165492119232e-40,0.819267673824303,0.679,0.323,3.24890184633612e-36,3,"TMEM147"
"ADI1",1.40071489296452e-40,0.873302926524911,0.596,0.285,3.31773329547576e-36,3,"ADI1"
"GINM1",1.53005325971315e-40,1.26679632775402,0.416,0.169,3.62408415095657e-36,3,"GINM1"
"ERGIC3",2.06674627935707e-40,0.689385542132446,0.851,0.47,4.89529523728516e-36,3,"ERGIC3"
"FBXL4",2.11173802313766e-40,1.15742938377626,0.42,0.171,5.00186268160387e-36,3,"FBXL4"
"YWHAQ",2.17510782575019e-40,0.605532664666831,0.924,0.598,5.15196039607191e-36,3,"YWHAQ"
"CYFIP1",2.23772749458497e-40,1.20270662790102,0.488,0.224,5.30028134367395e-36,3,"CYFIP1"
"CHD9",3.12480112035242e-40,0.632030967874638,0.731,0.399,7.40140393366674e-36,3,"CHD9"
"PIAS3",3.19539516183771e-40,0.860777873983072,0.588,0.281,7.5686129803288e-36,3,"PIAS3"
"GAS7",3.62841232222602e-40,0.99467026108692,0.739,0.511,8.59425742642454e-36,3,"GAS7"
"TMEM199",3.91921372078027e-40,1.2291751623928,0.39,0.153,9.28304961904014e-36,3,"TMEM199"
"C18orf32",4.22290181855477e-40,0.769851253592188,0.61,0.286,1.00023652474288e-35,3,"C18orf32"
"HIST1H2BC",4.39386045555172e-40,1.62821792547224,0.283,0.089,1.04072978750198e-35,3,"HIST1H2BC"
"PCBD1",4.88436404524402e-40,1.13630574965825,0.448,0.189,1.1569104677565e-35,3,"PCBD1"
"RAB38",5.01919935586668e-40,1.19781334939979,0.438,0.175,1.18884755943058e-35,3,"RAB38"
"TMEM109",6.49143849045133e-40,0.710044802707908,0.789,0.444,1.5375621208483e-35,3,"TMEM109"
"PREP",6.58685011521121e-40,1.03793642215059,0.5,0.229,1.56016131828893e-35,3,"PREP"
"GABARAPL2",8.75251008936726e-40,0.668055705732429,0.847,0.479,2.07311953976753e-35,3,"GABARAPL2"
"UQCR10",8.89611405903258e-40,0.641378859208516,0.878,0.52,2.10713357602246e-35,3,"UQCR10"
"PIN4",9.47822105355347e-40,0.982521364670498,0.526,0.24,2.24501143874468e-35,3,"PIN4"
"TTLL5",1.0129283816076e-39,1.07769855923866,0.464,0.204,2.39922216467575e-35,3,"TTLL5"
"NPHP4",1.09877154175883e-39,1.86696676026997,0.281,0.09,2.60255027380997e-35,3,"NPHP4"
"RAB2A",1.27421265845264e-39,0.718783096958822,0.763,0.418,3.01810010281093e-35,3,"RAB2A"
"TTYH2",1.29046424873985e-39,1.46438381924551,0.376,0.148,3.05659361956521e-35,3,"TTYH2"
"RAB1A",1.60505291974716e-39,0.676075263638915,0.833,0.482,3.80172834571311e-35,3,"RAB1A"
"HSPB8",1.84795395936214e-39,1.42538602427104,0.331,0.113,4.37706374814516e-35,3,"HSPB8"
"SLC25A1",2.11407747941031e-39,1.14870521620708,0.476,0.217,5.00740391773126e-35,3,"SLC25A1"
"HYPK",2.26847928520471e-39,0.745709185313306,0.731,0.438,5.37312003493587e-35,3,"HYPK"
"TWF1",2.39913080761395e-39,1.02495384744955,0.52,0.247,5.68258123091441e-35,3,"TWF1"
"TMBIM4",3.29368617534097e-39,0.509304522136609,0.93,0.759,7.80142507491263e-35,3,"TMBIM4"
"NBEAL1",3.37404452972805e-39,1.20629958738183,0.454,0.205,7.99176187311386e-35,3,"NBEAL1"
"DMD",3.46319367795055e-39,1.59051218140832,0.309,0.106,8.20292054559367e-35,3,"DMD"
"GNG5",3.49602660146382e-39,0.640984676371601,0.95,0.565,8.28068860822719e-35,3,"GNG5"
