cancer,feature,p_discordant,p_concordant,enrichment_ratio,n_discordant,n_concordant
BRCA,loc_Connecting_piece,0.002551020408163265,0.0085667215815486,0.2977825745682888,784,3035
BRCA,loc_Calyx,0.0012755102040816326,0.007907742998352554,0.16129889455782312,784,3035
BRCA,loc_Annulus,0.0,0.004612850082372323,0.0,784,3035
BRCA,loc_Equatorial_segment,0.0,0.005601317957166392,0.0,784,3035
COAD,loc_Predicted_to_be_secreted,0.09516616314199396,0.021539436173582515,4.418229074106984,662,3157
COAD,loc_Actin_filaments,0.02416918429003021,0.013303769401330377,1.8167170191339375,662,3157
COAD,loc_Intermediate_filaments,0.0075528700906344415,0.005068102629078239,1.4902756797583083,662,3157
COAD,loc_Cytoplasmic_bodies,0.006042296072507553,0.004117833386126069,1.4673483616081804,662,3157
COAD,loc_Vesicles,0.1555891238670695,0.12100095026924296,1.2858504294459119,662,3157
COAD,loc_Golgi_apparatus,0.09365558912386707,0.07317073170731707,1.2799597180261832,662,3157
COAD,loc_Plasma_membrane,0.13746223564954682,0.1162496040544821,1.1824748717864286,662,3157
COAD,loc_Nuclear_membrane,0.019637462235649546,0.017104846373139058,1.148064227369363,662,3157
COAD,loc_Centrosome,0.02416918429003021,0.022489705416534684,1.0746776732904983,662,3157
COAD,loc_Focal_adhesion_sites,0.00906344410876133,0.009185936015204309,0.9866652776330868,662,3157
COAD,loc_Mitotic_spindle,0.006042296072507553,0.006968641114982578,0.8670694864048338,662,3157
COAD,loc_Cytosol,0.31419939577039274,0.3623693379790941,0.8670694864048337,662,3157
COAD,loc_Nucleoplasm,0.32628398791540786,0.37884067152359835,0.8612696905091494,662,3157
COAD,loc_Mitotic_chromosome,0.006042296072507553,0.007285397529299968,0.8293708130828845,662,3157
COAD,loc_Perinuclear_theca,0.004531722054380665,0.005701615457713019,0.7948136958710977,662,3157
COAD,loc_Annulus,0.0030211480362537764,0.003801076971808679,0.7948136958710977,662,3157
COAD,loc_Cell_Junctions,0.01812688821752266,0.023439974659486856,0.7733322446313383,662,3157
COAD,loc_Nucleoli_fibrillar_center,0.015105740181268883,0.019955654101995565,0.7569654246391407,662,3157
COAD,loc_Endoplasmic_reticulum,0.04833836858006042,0.06493506493506493,0.7444108761329306,662,3157
COAD,loc_Primary_cilium,0.019637462235649546,0.026924295216978145,0.729358450328772,662,3157
COAD,loc_Nucleoli,0.055891238670694864,0.07665505226480836,0.7291266135677013,662,3157
COAD,loc_Nuclear_bodies,0.022658610271903322,0.03325942350332594,0.6812688821752266,662,3157
COAD,loc_Primary_cilium_transition_zone,0.0030211480362537764,0.004434589800443459,0.6812688821752266,662,3157
COAD,loc_Centriolar_satellite,0.0075528700906344415,0.011086474501108648,0.6812688821752265,662,3157
COAD,loc_Microtubules,0.013595166163141994,0.020589166930630346,0.660306762723681,662,3157
COAD,loc_Basal_body,0.015105740181268883,0.024073487488121634,0.6274844967403403,662,3157
COAD,loc_Nucleoli_rim,0.00906344410876133,0.014570795058599937,0.6220281098121635,662,3157
COAD,loc_Mid_piece,0.010574018126888218,0.017104846373139058,0.6181884301219648,662,3157
COAD,loc_Calyx,0.0030211480362537764,0.0063351282863477985,0.4768882175226586,662,3157
COAD,loc_Nuclear_speckles,0.015105740181268883,0.03642698764649984,0.4146854065414423,662,3157
COAD,loc_Mitochondria,0.052870090634441085,0.1289198606271777,0.410100432759043,662,3157
COAD,loc_Principal_piece,0.00906344410876133,0.023123218245169466,0.3919629185117742,662,3157
COAD,loc_Flagellar_centriole,0.0030211480362537764,0.007918910357934749,0.3815105740181268,662,3157
COAD,loc_Connecting_piece,0.0030211480362537764,0.007918910357934749,0.3815105740181268,662,3157
COAD,loc_Cytokinetic_bridge,0.004531722054380665,0.012987012987012988,0.3489425981873112,662,3157
COAD,loc_End_piece,0.0030211480362537764,0.012036743744060817,0.2509937986961361,662,3157
COAD,loc_Acrosome,0.0015105740181268882,0.0063351282863477985,0.2384441087613293,662,3157
COAD,loc_Primary_cilium_tip,0.0015105740181268882,0.007918910357934749,0.1907552870090634,662,3157
COAD,loc_Midbody,0.0,0.003801076971808679,0.0,662,3157
COAD,loc_Equatorial_segment,0.0,0.005068102629078239,0.0,662,3157
GBM,loc_Predicted_to_be_secreted,0.05405405405405406,0.023622047244094488,2.2882882882882885,1406,2413
GBM,loc_Intermediate_filaments,0.007112375533428165,0.004144218814753419,1.7162162162162162,1406,2413
GBM,loc_Annulus,0.004267425320056899,0.002900953170327393,1.4710424710424712,1406,2413
GBM,loc_Nuclear_membrane,0.020625889046941678,0.016576875259013676,1.2442567567567566,1406,2413
GBM,loc_Plasma_membrane,0.13513513513513514,0.10982179859096561,1.2304946455889851,1406,2413
GBM,loc_Golgi_apparatus,0.08961593172119488,0.0741815167840862,1.2080628114147667,1406,2413
GBM,loc_Vesicles,0.14011379800853485,0.11603812681309573,1.2074806949806949,1406,2413
GBM,loc_Cell_Junctions,0.01991465149359886,0.016576875259013676,1.2013513513513514,1406,2413
GBM,loc_Actin_filaments,0.019203413940256046,0.016162453377538334,1.1881496881496882,1406,2413
GBM,loc_Midbody,0.0021337126600284497,0.0020721094073767096,1.0297297297297299,1406,2413
GBM,loc_Mitotic_spindle,0.00995732574679943,0.009946125155408206,1.0011261261261262,1406,2413
GBM,loc_Centriolar_satellite,0.010668563300142247,0.01077496891835889,0.99012474012474,1406,2413
GBM,loc_Mitotic_chromosome,0.005689900426742532,0.005801906340654786,0.9806949806949807,1406,2413
GBM,loc_Endoplasmic_reticulum,0.05903271692745377,0.0613344384583506,0.9624726077428781,1406,2413
GBM,loc_Centrosome,0.023470839260312945,0.025279734769995857,0.9284448382809039,1406,2413
GBM,loc_Cytosol,0.3399715504978663,0.37339411520928306,0.9104898461169272,1406,2413
GBM,loc_Nucleoli,0.06543385490753911,0.07335267302113552,0.8920445869598411,1406,2413
GBM,loc_Flagellar_centriole,0.007823613086770981,0.009117281392457521,0.8581081081081081,1406,2413
GBM,loc_Basal_body,0.025604551920341393,0.0306672192291753,0.8349159970781592,1406,2413
GBM,loc_Primary_cilium_tip,0.009246088193456615,0.01118939079983423,0.8263263263263264,1406,2413
GBM,loc_Primary_cilium_transition_zone,0.004267425320056899,0.005387484459179445,0.7920997920997921,1406,2413
GBM,loc_Microtubules,0.019203413940256046,0.024450891007045172,0.7853870819972515,1406,2413
GBM,loc_Cytoplasmic_bodies,0.0035561877667140826,0.0045586406962287605,0.7800982800982802,1406,2413
GBM,loc_Primary_cilium,0.02702702702702703,0.035225859925404064,0.7672496025437202,1406,2413
GBM,loc_Cytokinetic_bridge,0.013513513513513514,0.017820140903439703,0.7583280955373979,1406,2413
GBM,loc_Nucleoli_rim,0.00995732574679943,0.01326150020721094,0.7508445945945946,1406,2413
GBM,loc_Nuclear_bodies,0.02418207681365576,0.03232490675507667,0.7480942480942481,1406,2413
GBM,loc_Principal_piece,0.021337126600284494,0.029009531703273934,0.7355212355212355,1406,2413
GBM,loc_Mitochondria,0.0903271692745377,0.1255698300870286,0.7193381500312194,1406,2413
GBM,loc_Nucleoplasm,0.29445234708392604,0.41027766266058846,0.7176904176904177,1406,2413
GBM,loc_Nucleoli_fibrillar_center,0.014935988620199146,0.021135515955242438,0.7066772655007949,1406,2413
GBM,loc_Focal_adhesion_sites,0.007823613086770981,0.01118939079983423,0.6991991991991993,1406,2413
GBM,loc_Perinuclear_theca,0.004267425320056899,0.00663075010360547,0.6435810810810811,1406,2413
GBM,loc_Mid_piece,0.013513513513513514,0.021135515955242438,0.6393746687864335,1406,2413
GBM,loc_End_piece,0.011379800853485065,0.017820140903439703,0.6385920804525456,1406,2413
GBM,loc_Connecting_piece,0.002844950213371266,0.0074595938665561546,0.3813813813813814,1406,2413
GBM,loc_Nuclear_speckles,0.012802275960170697,0.04309987567343556,0.297037422037422,1406,2413
GBM,loc_Calyx,0.0021337126600284497,0.008288437629506838,0.25743243243243247,1406,2413
GBM,loc_Acrosome,0.001422475106685633,0.007874015748031496,0.1806543385490754,1406,2413
GBM,loc_Equatorial_segment,0.0007112375533428165,0.007045171985080812,0.10095389507154214,1406,2413
LIHC,loc_Midbody,0.005474452554744526,0.0011017260374586854,4.968978102189781,1096,2723
LIHC,loc_Mitotic_spindle,0.01551094890510949,0.0044069041498347415,3.5196928223844277,1096,2723
LIHC,loc_Predicted_to_be_secreted,0.07116788321167883,0.028277634961439587,2.5167551426675514,1096,2723
LIHC,loc_Primary_cilium_tip,0.010036496350364963,0.0044069041498347415,2.2774482968369827,1096,2723
LIHC,loc_Actin_filaments,0.021897810218978103,0.010282776349614395,2.129562043795621,1096,2723
LIHC,loc_Mitotic_chromosome,0.010036496350364963,0.004774146162320969,2.1022599663110615,1096,2723
LIHC,loc_Primary_cilium,0.032846715328467155,0.021667278736687477,1.515959421007052,1096,2723
LIHC,loc_Basal_body,0.028284671532846715,0.01872934263679765,1.5101796192929728,1096,2723
LIHC,loc_Annulus,0.0036496350364963502,0.002570694087403599,1.4197080291970803,1096,2723
LIHC,loc_Centrosome,0.028284671532846715,0.02056555269922879,1.3753421532846717,1096,2723
LIHC,loc_Plasma_membrane,0.1259124087591241,0.09511568123393316,1.3237818110080886,1096,2723
LIHC,loc_Nuclear_bodies,0.032846715328467155,0.02570694087403599,1.2777372262773723,1096,2723
LIHC,loc_Nuclear_membrane,0.020985401459854013,0.01652589056188028,1.2698499594484995,1096,2723
LIHC,loc_Cytokinetic_bridge,0.013686131386861315,0.011017260374586852,1.2422445255474455,1096,2723
LIHC,loc_Primary_cilium_transition_zone,0.004562043795620438,0.003672420124862284,1.2422445255474452,1096,2723
LIHC,loc_Vesicles,0.14416058394160583,0.12486228424531766,1.1545566766852726,1096,2723
LIHC,loc_Focal_adhesion_sites,0.008211678832116789,0.007344840249724568,1.1180200729927008,1096,2723
LIHC,loc_Flagellar_centriole,0.008211678832116789,0.007344840249724568,1.1180200729927008,1096,2723
LIHC,loc_Nucleoli,0.07481751824817519,0.0697759823723834,1.0722531694199002,1096,2723
LIHC,loc_Microtubules,0.020072992700729927,0.01872934263679765,1.0717403749821097,1096,2723
LIHC,loc_Golgi_apparatus,0.08302919708029197,0.07969151670951156,1.0418825052978573,1096,2723
LIHC,loc_Cytoplasmic_bodies,0.0036496350364963502,0.003672420124862284,0.9937956204379562,1096,2723
LIHC,loc_Nucleoli_fibrillar_center,0.016423357664233577,0.01652589056188028,0.9937956204379562,1096,2723
LIHC,loc_Nucleoplasm,0.33667883211678834,0.3444730077120823,0.9773736245778407,1096,2723
LIHC,loc_Cytosol,0.3375912408759124,0.34704370179948585,0.9727629088942958,1096,2723
LIHC,loc_Perinuclear_theca,0.005474452554744526,0.0058758721997796545,0.931683394160584,1096,2723
LIHC,loc_Principal_piece,0.020985401459854013,0.02313624678663239,0.9070356853203568,1096,2723
LIHC,loc_Nucleoli_rim,0.010948905109489052,0.012486228424531766,0.8768784886217261,1096,2723
LIHC,loc_Cell_Junctions,0.014598540145985401,0.017627616599338966,0.8281630170316301,1096,2723
LIHC,loc_Centriolar_satellite,0.0072992700729927005,0.008813808299669483,0.8281630170316301,1096,2723
LIHC,loc_Nuclear_speckles,0.025547445255474453,0.032317297098788104,0.7905192435301923,1096,2723
LIHC,loc_Endoplasmic_reticulum,0.05474452554744526,0.0697759823723834,0.7845754898194391,1096,2723
LIHC,loc_End_piece,0.009124087591240875,0.011751744399559309,0.7764028284671532,1096,2723
LIHC,loc_Intermediate_filaments,0.0036496350364963502,0.004774146162320969,0.7644581695676587,1096,2723
LIHC,loc_Mid_piece,0.014598540145985401,0.019463826661770108,0.7500344305192121,1096,2723
LIHC,loc_Acrosome,0.002737226277372263,0.005141388174807198,0.5323905109489052,1096,2723
LIHC,loc_Mitochondria,0.06478102189781022,0.15534337128167464,0.4170182568031613,1096,2723
LIHC,loc_Equatorial_segment,0.0018248175182481751,0.0058758721997796545,0.3105611313868613,1096,2723
LIHC,loc_Calyx,0.0009124087591240876,0.00697759823723834,0.13076258163657317,1096,2723
LIHC,loc_Connecting_piece,0.0009124087591240876,0.008079324274697026,0.11293132050431319,1096,2723
PAAD,loc_Predicted_to_be_secreted,0.10062240663900415,0.030122591943957968,3.340429894818103,964,2855
PAAD,loc_Actin_filaments,0.025933609958506226,0.01436077057793345,1.8058647910130556,964,2855
PAAD,loc_Perinuclear_theca,0.007261410788381743,0.004903677758318739,1.4808091286307055,964,2855
PAAD,loc_Mitotic_chromosome,0.006224066390041493,0.004203152364273205,1.4808091286307052,964,2855
PAAD,loc_Plasma_membrane,0.15767634854771784,0.12189141856392294,1.293580388229122,964,2855
PAAD,loc_Midbody,0.0031120331950207467,0.0024518388791593695,1.2692649673977474,964,2855
PAAD,loc_Vesicles,0.15352697095435686,0.12469352014010508,1.2312345563895752,964,2855
PAAD,loc_Cell_Junctions,0.023858921161825725,0.019614711033274956,1.216378927089508,964,2855
PAAD,loc_Annulus,0.004149377593360996,0.0035026269702276708,1.1846473029045643,964,2855
PAAD,loc_Nucleoli,0.07365145228215768,0.06619964973730298,1.1125655887066674,964,2855
PAAD,loc_Primary_cilium_transition_zone,0.004149377593360996,0.003852889667250438,1.076952093549604,964,2855
PAAD,loc_Centrosome,0.022821576763485476,0.02136602451838879,1.0681246173729677,964,2855
PAAD,loc_Golgi_apparatus,0.08402489626556017,0.07985989492119089,1.0521538545533962,964,2855
PAAD,loc_Flagellar_centriole,0.008298755186721992,0.008056042031523642,1.0301280894822298,964,2855
PAAD,loc_Nucleoli_rim,0.011410788381742738,0.011208406304728547,1.0180562759336098,964,2855
PAAD,loc_Mitotic_spindle,0.007261410788381743,0.007705779334500876,0.9423330818559034,964,2855
PAAD,loc_Cytoplasmic_bodies,0.004149377593360996,0.004553415061295972,0.9112671560804342,964,2855
PAAD,loc_Primary_cilium,0.024896265560165973,0.0287215411558669,0.8668150996862666,964,2855
PAAD,loc_Cytosol,0.32053941908713696,0.3751313485113835,0.8544724943919477,964,2855
PAAD,loc_Basal_body,0.02074688796680498,0.024518388791593695,0.8461766449318316,964,2855
PAAD,loc_Endoplasmic_reticulum,0.054979253112033194,0.07005253940455342,0.7848288381742738,964,2855
PAAD,loc_Nucleoplasm,0.29149377593361,0.37478108581436076,0.7777707759723893,964,2855
