cancer,feature,n_disc_with,n_disc_total,n_conc_with,n_conc_total,oddsratio,pvalue,p_adj,significant
GBM,loc_Centrosome,33,1406,61,2413,0.9267250128353611,0.8286702955052901,0.9253832420869003,False
GBM,loc_Cytoplasmic_bodies,5,1406,11,2413,0.7793134773862825,0.7973575853644798,0.9253832420869003,False
GBM,loc_Endoplasmic_reticulum,83,1406,148,2413,0.960118281546853,0.8328449178782102,0.9253832420869003,False
GBM,loc_Primary_cilium_transition_zone,6,1406,13,2413,0.7912087912087912,0.8125213101156353,0.9253832420869003,False
GBM,loc_Centriolar_satellite,15,1406,26,2413,0.9900182491843168,1.0,1.0,False
GBM,loc_Midbody,3,1406,5,2413,1.0297933000712758,1.0,1.0,False
GBM,loc_Mitotic_chromosome,8,1406,14,2413,0.9805845084815041,1.0,1.0,False
GBM,loc_Mitotic_spindle,14,1406,24,2413,1.0011374521072798,1.0,1.0,False
LIHC,loc_Mitochondria,71,1096,423,2723,0.37663610678659976,1.690292535251406e-15,6.761170141005624e-14,True
LIHC,loc_Predicted_to_be_secreted,78,1096,77,2723,2.6329701732452224,9.770465848259087e-09,1.9540931696518174e-07,True
LIHC,loc_Mitotic_spindle,17,1096,12,2723,3.5593914118010503,0.0007522602897017164,0.010030137196022887,True
LIHC,loc_Plasma_membrane,138,1096,259,2723,1.3704226146814873,0.005816347800211492,0.05816347800211492,False
LIHC,loc_Actin_filaments,24,1096,28,2723,2.154850746268657,0.007991531500467957,0.059129705143481835,False
LIHC,loc_Connecting_piece,1,1096,22,2723,0.11212121212121212,0.008869455771522275,0.059129705143481835,False
LIHC,loc_Calyx,1,1096,19,2723,0.1299687575102139,0.022228606453975012,0.11114303226987506,False
LIHC,loc_Midbody,6,1096,3,2723,4.990825688073395,0.020128400239425984,0.11114303226987506,False
LIHC,loc_Primary_cilium,36,1096,59,2723,1.533482571154461,0.05068896567879738,0.22528429190576613,False
LIHC,loc_Primary_cilium_tip,11,1096,12,2723,2.2903993855606757,0.06105823487827469,0.24423293951309877,False
LIHC,loc_Mitotic_chromosome,11,1096,13,2723,2.1134349521446296,0.07139472674987721,0.25961718818137164,False
LIHC,loc_Basal_body,31,1096,51,2723,1.5250299180705147,0.08306772349221542,0.2768924116407181,False
LIHC,loc_Endoplasmic_reticulum,60,1096,190,2723,0.772099166836009,0.09621951063866165,0.2960600327343435,False
LIHC,loc_Vesicles,158,1096,340,2723,1.1805907437601906,0.11124635292320983,0.3178467226377424,False
LIHC,loc_Equatorial_segment,2,1096,16,2723,0.309300731261426,0.11989483256216256,0.31971955349910014,False
LIHC,loc_Centrosome,31,1096,56,2723,1.3862676056338028,0.1513569507707724,0.378392376926931,False
LIHC,loc_Nuclear_bodies,36,1096,70,2723,1.2871698113207548,0.23161050829016933,0.544965901859222,False
LIHC,loc_Nuclear_speckles,28,1096,88,2723,0.7850272386789241,0.2981549409151235,0.6625665353669411,False
LIHC,loc_Mid_piece,16,1096,53,2723,0.7463312368972747,0.34880363543322324,0.6976072708664465,False
LIHC,loc_Nuclear_membrane,23,1096,45,2723,1.2756342549445998,0.34566369061329993,0.6976072708664465,False
LIHC,loc_Acrosome,3,1096,14,2723,0.5311070448307411,0.42478910407101533,0.8091221029924102,False
LIHC,loc_Annulus,4,1096,7,2723,1.4212454212454213,0.5232982459650845,0.8995918222045224,False
LIHC,loc_Cell_Junctions,16,1096,48,2723,0.8256172839506173,0.578695415379997,0.8995918222045224,False
LIHC,loc_Cytokinetic_bridge,15,1096,30,2723,1.2456059204440333,0.5083303296739407,0.8995918222045224,False
LIHC,loc_Cytosol,370,1096,945,2723,0.9588817467605346,0.5982326685279101,0.8995918222045224,False
LIHC,loc_End_piece,10,1096,32,2723,0.7743439226519337,0.6072244799880526,0.8995918222045224,False
LIHC,loc_Nucleoli,82,1096,190,2723,1.0780961278936987,0.5785434134618359,0.8995918222045224,False
LIHC,loc_Nucleoplasm,369,1096,938,2723,0.9658892607115728,0.6512148508864416,0.9303069298377737,False
LIHC,loc_Centriolar_satellite,8,1096,24,2723,0.8268995098039216,0.8445067734964795,0.9383408594405328,False
LIHC,loc_Flagellar_centriole,9,1096,20,2723,1.1189972401103956,0.8369928943898872,0.9383408594405328,False
LIHC,loc_Focal_adhesion_sites,9,1096,20,2723,1.1189972401103956,0.8369928943898872,0.9383408594405328,False
