gene,cancer,protein_detected,detected_fraction,total_patients,rna_log2fc,tumor_log2tpm_mean,normal_log2tpm_mean,gene_length,gene_type,protein_coding,high_rna,discordant
FBXO7,BRCA,0,0.5,12,0.0176100730895996,5.9991326332092285,5.981522560119629,24154.0,protein_coding,1.0,True,True
HMOX1,BRCA,0,0.0,12,1.1165809631347656,4.873489856719971,3.756908893585205,13854.0,protein_coding,1.0,True,True
RPL3,BRCA,0,0.5,12,-0.0834293365478515,11.06997299194336,11.153402328491213,7508.0,protein_coding,1.0,True,True
APOL1,BRCA,0,0.0,12,0.3685259819030761,4.993208408355713,4.624682426452637,14521.0,protein_coding,1.0,True,True
ATP6V1D,BRCA,0,0.1,10,1.2052559852600098,6.251134872436523,5.045878887176514,65895.0,protein_coding,1.0,True,True
ITPK1,BRCA,0,0.25,12,0.1384754180908203,5.349596977233887,5.211121559143066,179407.0,protein_coding,1.0,True,True
ZFYVE21,BRCA,0,0.0833333333333333,12,-0.448493480682373,5.526488304138184,5.974981784820557,17939.0,protein_coding,1.0,True,True
PSMB5,BRCA,0,0.2,10,0.9265427589416504,7.042027473449707,6.115484714508057,18688.0,protein_coding,1.0,True,True
MMP9,BRCA,0,0.0,12,3.920663833618164,4.788836479187012,0.8681725263595581,7654.0,protein_coding,1.0,True,True
TRPC4AP,BRCA,0,0.3333333333333333,12,-0.1416950225830078,5.516395568847656,5.658090591430664,90468.0,protein_coding,1.0,True,True
ABHD12,BRCA,0,0.0,12,0.9843859672546388,5.738324165344238,4.7539381980896,96241.0,protein_coding,1.0,True,True
IFT52,BRCA,0,0.5,12,0.5201325416564941,5.024083137512207,4.503950595855713,56366.0,protein_coding,1.0,True,True
PFDN4,BRCA,0,0.3333333333333333,12,0.6891260147094727,5.473132610321045,4.784006595611572,20206.0,protein_coding,1.0,True,True
MTG2,BRCA,0,0.2222222222222222,9,0.4195728302001953,5.040867805480957,4.621294975280762,20540.0,protein_coding,1.0,True,True
MYL9,BRCA,0,0.0909090909090909,11,-1.5438666343688965,7.592606067657471,9.136472702026367,9964.0,protein_coding,1.0,True,True
CST3,BRCA,0,0.5,12,-0.9595794677734376,8.688483238220215,9.648062705993652,11768.0,protein_coding,1.0,True,True
WFDC2,BRCA,0,0.5,12,1.6478424072265625,6.226415634155273,4.578573226928711,11827.0,protein_coding,1.0,True,True
AHCY,BRCA,0,0.3333333333333333,12,1.440481662750244,6.939713954925537,5.499232292175293,31535.0,protein_coding,1.0,True,True
MAP1LC3A,BRCA,0,0.1666666666666666,12,-1.3124966621398926,4.749378204345703,6.061874866485596,13492.0,protein_coding,1.0,True,True
PIGU,BRCA,0,0.25,12,1.399271011352539,4.7669548988342285,3.367683887481689,138249.0,protein_coding,1.0,True,True
MYL12A,BRCA,0,0.0909090909090909,11,0.0489168167114257,8.71146011352539,8.662543296813965,8756.0,protein_coding,1.0,True,True
PRPS2,BRCA,0,0.0,8,1.541038990020752,4.802117824554443,3.2610788345336914,32868.0,protein_coding,1.0,True,True
PLS3,BRCA,0,0.4166666666666667,12,-0.621551513671875,5.388866901397705,6.01041841506958,89688.0,protein_coding,1.0,True,True
USP11,BRCA,0,0.0,12,-0.4256677627563476,4.909902095794678,5.335569858551025,15639.0,protein_coding,1.0,True,True
TIMP1,BRCA,0,0.3636363636363636,11,1.1290340423583984,8.888895988464355,7.759861946105957,4477.0,protein_coding,1.0,True,True
ARMCX3,BRCA,0,0.1818181818181818,11,0.1467442512512207,5.19086217880249,5.0441179275512695,5047.0,protein_coding,1.0,True,True
BEX4,BRCA,0,0.5,10,-0.075441837310791,5.190767765045166,5.266209602355957,2155.0,protein_coding,1.0,True,True
ACP5,BRCA,0,0.0,12,1.8436317443847656,5.83502197265625,3.991390228271485,4349.0,protein_coding,1.0,True,True
CORO1A,BRCA,0,0.0,11,1.1651880741119385,4.9227728843688965,3.757584810256958,6250.0,protein_coding,1.0,True,True
COTL1,BRCA,0,0.0,11,0.6671171188354492,6.2364583015441895,5.56934118270874,52484.0,protein_coding,1.0,True,True
CLCN7,BRCA,0,0.4,10,-0.1856055259704589,5.472204685211182,5.657810211181641,30647.0,protein_coding,1.0,True,True
NUBP1,BRCA,0,0.5,10,0.4706730842590332,4.950434684753418,4.479761600494385,25566.0,protein_coding,1.0,True,True
PIEZO1,BRCA,0,0.0,12,-1.0896010398864746,5.902591705322266,6.99219274520874,69869.0,protein_coding,1.0,True,True
VPS35L,BRCA,0,0.0833333333333333,12,0.4422059059143066,4.952525615692139,4.510319709777832,,,,True,True
KNOP1,BRCA,0,0.0,12,1.6341490745544434,5.084775447845459,3.450626373291016,16302.0,protein_coding,1.0,True,True
