gene,location_raw,location
PTRHD1,Nucleoplasm,Nucleoplasm
WT1,Nucleoplasm,Nucleoplasm
WT1,Cytosol,Cytosol
ZFP90,Centrosome,Centrosome
ZFP90,Plasma membrane,Plasma_membrane
ZFP90,Vesicles,Vesicles
FAM227A,Nucleoplasm,Nucleoplasm
NOC4L,Nucleoli,Nucleoli
NOC4L,Nucleoplasm,Nucleoplasm
USP18,Cytosol,Cytosol
USP18,Vesicles,Vesicles
NDUFA6,End piece,End_piece
NDUFA6,Nucleoplasm,Nucleoplasm
NDUFA6,Mid piece,Mid_piece
NDUFA6,Vesicles,Vesicles
SORCS2,Cytosol,Cytosol
SORCS2,Vesicles,Vesicles
TMEM121,Cytosol,Cytosol
SIVA1,Nucleoplasm,Nucleoplasm
BRI3BP,Mitochondria,Mitochondria
BRI3BP,Nucleoplasm,Nucleoplasm
DGAT1,Endoplasmic reticulum,Endoplasmic_reticulum
DGAT1,Nucleoli,Nucleoli
DGAT1,Nucleoli rim,Nucleoli_rim
ROBO2,Plasma membrane,Plasma_membrane
ROBO2,Vesicles,Vesicles
NT5C1B,Nucleoli,Nucleoli
NT5C1B,Plasma membrane,Plasma_membrane
NT5C1B,Connecting piece,Connecting_piece
NT5C1B,Mid piece,Mid_piece
NT5C1B,Nucleoplasm,Nucleoplasm
CA13,Nucleoli,Nucleoli
CA13,Nucleoplasm,Nucleoplasm
CA13,Vesicles,Vesicles
UBOX5,Nucleoplasm,Nucleoplasm
MAFF,Nucleoplasm,Nucleoplasm
MAFF,Mitochondria,Mitochondria
BRF1,Nuclear bodies,Nuclear_bodies
BRF1,Nucleoplasm,Nucleoplasm
LRRC14B,Cytosol,Cytosol
LRRC14B,Nucleoplasm,Nucleoplasm
SEMA4B,Cell Junctions,Cell_Junctions
SEMA4B,Nucleoplasm,Nucleoplasm
SEMA4B,Vesicles,Vesicles
MROH2A,Cytosol,Cytosol
CIB1,Nucleoplasm,Nucleoplasm
CIB1,Plasma membrane,Plasma_membrane
CIB1,Nuclear bodies,Nuclear_bodies
ANKS1B,Nucleoplasm,Nucleoplasm
ANKS1B,Plasma membrane,Plasma_membrane
NELFA,Nucleoplasm,Nucleoplasm
NELFA,Nuclear bodies,Nuclear_bodies
SLC24A3,Golgi apparatus,Golgi_apparatus
SLC24A3,Cytosol,Cytosol
INTS5,Nucleoplasm,Nucleoplasm
INTS5,Cytosol,Cytosol
RPS27L,Cytosol,Cytosol
RPS27L,Endoplasmic reticulum,Endoplasmic_reticulum
RPS27L,Nucleoli,Nucleoli
MANEAL,Golgi apparatus,Golgi_apparatus
ANO9,Golgi apparatus,Golgi_apparatus
FAF1,Nucleoplasm,Nucleoplasm
FAF1,Acrosome,Acrosome
FAF1,Equatorial segment,Equatorial_segment
FAF1,Perinuclear theca,Perinuclear_theca
FAM43A,Vesicles,Vesicles
HSF1,Nucleoplasm,Nucleoplasm
HSF1,Cytosol,Cytosol
H2BC13,Nucleoplasm,Nucleoplasm
H2BC13,Cytosol,Cytosol
INPP5J,Cytosol,Cytosol
INPP5J,Nucleoli fibrillar center,Nucleoli_fibrillar_center
